test_type,protocol,iteration,phase,duration_us
connection_phase,SPVA,36,create_channel,273
connection_phase,SPVA,36,total,4226
connection_phase,SPVA,37,search,790
connection_phase,SPVA,37,tcp_connect,2800
connection_phase,SPVA,37,validation,361
connection_phase,SPVA,37,create_channel,233
connection_phase,SPVA,37,total,4184
connection_phase,SPVA,38,search,944
connection_phase,SPVA,38,tcp_connect,3097
connection_phase,SPVA,38,validation,393
connection_phase,SPVA,38,create_channel,239
connection_phase,SPVA,38,total,4673
connection_phase,SPVA,39,search,1014
connection_phase,SPVA,39,tcp_connect,3023
connection_phase,SPVA,39,validation,387
connection_phase,SPVA,39,create_channel,250
connection_phase,SPVA,39,total,4674
connection_phase,SPVA,40,search,970
connection_phase,SPVA,40,tcp_connect,2820
connection_phase,SPVA,40,validation,341
connection_phase,SPVA,40,create_channel,263
connection_phase,SPVA,40,total,4394
connection_phase,SPVA,41,search,836
connection_phase,SPVA,41,tcp_connect,2811
connection_phase,SPVA,41,validation,345
connection_phase,SPVA,41,create_channel,242
connection_phase,SPVA,41,total,4234
connection_phase,SPVA,42,search,850
connection_phase,SPVA,42,tcp_connect,3152
connection_phase,SPVA,42,validation,388
connection_phase,SPVA,42,create_channel,257
connection_phase,SPVA,42,total,4647
connection_phase,SPVA,43,search,961
connection_phase,SPVA,43,tcp_connect,3176
connection_phase,SPVA,43,validation,390
connection_phase,SPVA,43,create_channel,246
connection_phase,SPVA,43,total,4773
connection_phase,SPVA,44,search,1197
connection_phase,SPVA,44,tcp_connect,3505
connection_phase,SPVA,44,validation,474
connection_phase,SPVA,44,create_channel,253
connection_phase,SPVA,44,total,5429
connection_phase,SPVA,45,search,1133
connection_phase,SPVA,45,tcp_connect,3606
connection_phase,SPVA,45,validation,455
connection_phase,SPVA,45,create_channel,267
connection_phase,SPVA,45,total,5461
connection_phase,SPVA,46,search,1046
connection_phase,SPVA,46,tcp_connect,3127
connection_phase,SPVA,46,validation,463
connection_phase,SPVA,46,create_channel,361
connection_phase,SPVA,46,total,4997
connection_phase,SPVA,47,search,1103
connection_phase,SPVA,47,tcp_connect,3111
connection_phase,SPVA,47,validation,639
connection_phase,SPVA,47,create_channel,377
connection_phase,SPVA,47,total,5230
connection_phase,SPVA,48,search,1120
connection_phase,SPVA,48,tcp_connect,3374
connection_phase,SPVA,48,validation,479
connection_phase,SPVA,48,create_channel,362
connection_phase,SPVA,48,total,5335
connection_phase,SPVA,49,search,1078
connection_phase,SPVA,49,tcp_connect,3315
connection_phase,SPVA,49,validation,389
connection_phase,SPVA,49,create_channel,305
connection_phase,SPVA,49,total,5087
connection_phase,SPVA,50,search,1059
